gsi_deposit_id	deposit_value	mineral	metal_class	state	sheet_no	district	locality	latlong	symbol	rock_type	rock_age	deposit_size	remark	page	latitude	longitude
4	714.5	"chromite"	"Iron and Ferro-Alloy Metals"	"ANDHRA PRADESH"	"18"	"Khammam dist."	"37. Linganapeta"	"17^15' : 80^25'"	"Cr"	"Ultramafic intrusion in Peninsular Gneissic Complex"	"Mesozoic"	3	"Khammam-Krishna Chromite Belt No 37,38,40"	1	17.25	80.41666
5	714.5	"chromite"	"Iron and Ferro-Alloy Metals"	"ANDHRA PRADESH"	"18"	"Khammam dist."	"38. Shriranigiri"	"17^20' : 80^24'"	"Cr"	"Ultramafic intrusion in Peninsular Gneissic Complex"	"Mesozoic"	3	""	1	17.33333	80.4
6	75	"chromite"	"Iron and Ferro-Alloy Metals"	"ANDHRA PRADESH"	"18"	"Khammam dist."	"40. Kondapalle"	"16^37' : 80^32'"	"Cr"	"Pyroxenite emplaced in Granulite"	"Mesozoic"	3	""	1	16.61667	80.53333
10	14079.32	"chromite"	"Iron and Ferro-Alloy Metals"	"KARNATAKA"	"20"	"Hassan dist."	"3. Aladahalli"	"13^07'40" : 76^22'"	"Cr"	"Altered ultrabasics of Dharwar Supergroup"	"Archaean - Lower Proterozoic"	1	""	1	13.12778	76.36667
11	14079.32	"chromite"	"Iron and Ferro-Alloy Metals"	"KARNATAKA"	"20"	"Hassan dist."	"4. Bhaktarhalli"	"13^05'20" : 76^25'40""	"Cr"	"Ultramafic body associated with Sargur Group"	"Archaean"	1	"Nuggihalli Schist Belt No. 4,5"	1	13.08889	76.42778
12	4693.105	"chromite"	"Iron and Ferro-Alloy Metals"	"KARNATAKA"	"20"	"Hassan dist."	"5. Byrapura"	"13^07' : 76^25'"	"Cr"	"Ore occurs within ultramafic body associated with Sargur Group"	"Archaean"	3	""	1	13.11667	76.41666
13	14079.32	"chromite"	"Iron and Ferro-Alloy Metals"	"KARNATAKA"	"20"	"Hassan dist."	"6. Chikkonahalli"	"13^04'30" : 76^26'50""	"Cr"	"Ore occurs within ultramafic body associated with Sargur Group"	"Archaean"	1	""	1	13.075	76.44722
14	14079.32	"chromite"	"Iron and Ferro-Alloy Metals"	"KARNATAKA"	"20"	"Hassan dist."	"7. Gobalihalli"	"13^08'30" : 76^24'"	"Cr"	"Ore occurs within ultramafic body associated with Sargur Group"	"Archaean"	1	""	1	13.14167	76.4
15	14079.32	"chromite"	"Iron and Ferro-Alloy Metals"	"KARNATAKA"	"20"	"Hassan dist."	"8. Jambur"	"12^59'30" : 76^27'30""	"Cr"	"Ore occurs within ultramafic body associated with Sargur Group"	"Archaean"	1	""	1	12.99167	76.45834
16	14079.32	"chromite"	"Iron and Ferro-Alloy Metals"	"KARNATAKA"	"20"	"Hassan dist."	"9. Lakkaranshalli"	"13^02'30" : 76^26'30""	"Cr"	"Ore occurs within ultramafic body associated with Sargur Group"	"Archaean"	1	""	1	13.04167	76.44167
19	825.93	"chromite"	"Iron and Ferro-Alloy Metals"	"MAHARASHTRA"	"17"	"Ratnagiri dist."	"12. Kankavli"	"16^16'40" : 73^45'30""	"Cr,Tc"	"Ultramafic body within volcanosedimentary sequence of Sakoli Group"	"Lower Proterozoic"	3	""	1	16.27778	73.75833
20	119	"chromite"	"Iron and Ferro-Alloy Metals"	"MANIPUR"	"11"	"Manipur Central dist."	"32. Tengnoupal"	"24^23' : 94^09'"	"Cr"	"Naga Ophiolite"	"Cretaceous - Palaeogene"	1	""	1	24.38333	94.15
22	3149450	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Cuttack dist."	"13. Bhimtanagar"	"21^02' : 85^45'"	"Cr"	"Chromite occurs within ultramafic body associated with Gorumahisini Group"	"Archaean"	1	""	1	21.03333	85.75
23	1049817	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Cuttack dist."	"14. Gurjang"	"21^04' : 85^47'"	"Cr"	"Chromite occurs within ultramafic body associated with Gorumahisini Group"	"Archaean"	3	""	1	21.06667	85.78333
24	1049817	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Cuttack dist."	"15. Kalanangi"	"21^01' : 85^45'"	"Cr"	"Chromite occurs within ultramafic body associated with Gorumahisini Group"	"Archaean"	3	""	1	21.01667	85.75
25	1049817	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Cuttack dist."	"16. Talangi"	"21^03' : 85^47'"	"Cr"	"Chromite occurs within ultramafic body associated with Gorumahisini Group"	"Archaean"	3	""	1	21.05	85.78333
26	3149450	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Cuttack dist."	"17. Kaliapani South"	"21^03' : 85^47'"	"Cr"	"Chromite occurs within ultramafic body associated with Gorumahisini Group"	"Archaean"	1	""	1	21.05	85.78333
27	2099633	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Cuttack dist."	"18. Kumardih"	"21^03' : 85^50'"	"Cr"	"Chromite occurs within ultramafic body associated with Gorumahisini Group"	"Archaean"	2	""	1	21.05	85.83334
28	3149450	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Cuttack dist."	"19. Sarubil"	"21^04' : 85^48'"	"Cr"	"Chromite occurs within ultramafic body associated with Gorumahisini Group"	"Archaean"	1	""	1	21.06667	85.8
29	3149450	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Cuttack dist."	"20. Sukrangi"	"21^02' : 85^48'"	"Cr"	"Chromite occurs within ultramafic body associated with Gorumahisini Group"	"Archaean"	1	""	1	21.03333	85.8
30	34329.23	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Dhenkanal dist."	"22. Dangakata"	"21^01' : 85^41'30""	"Cr"	"Ore body occurs in ultramafic rock associated with Gorumahisini Group"	"Archaean"	1	""	1	21.01667	85.69167
31	34329.23	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Dhenkanal dist."	"23. Ontinaga-Umandira"	"21^05' : 85^42'"	"Cr"	"Ore body occurs in ultramafic rock associated with Gorumahisini Group"	"Archaean"	1	""	1	21.08333	85.7
32	34329.23	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Dhenkanal dist."	"24. Kathpal"	"21^02' : 85^43'"	"Cr"	"Ore body occurs in ultramafic rock associated with Gorumahisini Group"	"Archaean"	1	""	1	21.03333	85.71667
33	34329.23	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Dhenkanal dist."	"25. Maulabhanj"	"20^55' : 85^42'"	"Cr"	"Chromite occurs within altered ultramafic rocks"	"Archaean"	1	""	1	20.91667	85.7
34	1049817	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Dhenkanal dist."	"26. T. Kanakshya - nagar."	"21^01' : 85^45'"	"Cr"	"Ore body occurs in ultramafic rock associated with Gorumahisini Group"	"Archaean"	3	""	1	21.01667	85.75
35	11443.08	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Dhenkanal dist."	"33. Sengara & Birasal"	"21^00' : 85^41'"	"Cr"	"Ore body occurs in ultramafic rock associated with Gorumahisini Group"	"Archaean"	3	""	2	21	85.68333
36	219258	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Keonjhar dist."	"21. Baula-Nausahi Phuljhari area"	"21^16' - 21^18'30" : 86^10' - 86^20'"	"Cr, Ni Co"	"Dunite -chromite ultramafic rocks"	"Archaean"	2	""	2	21.2875	86.25
37	109629	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Keonjhar dist."	"27. Bangar"	"21^15'38" - 21^16'55" : 86^19' - 86^20'"	"Cr"	"Dunite -chromite ultramafic rocks"	"Archaean"	3	""	2	21.27125	86.325
38	109629	"chromite"	"Iron and Ferro-Alloy Metals"	"ORISSA"	"15"	"Keonjhar dist."	"29. Phulijorha"	"21^16'38" - 21^17'30" : 86^19' - 86^20'"	"Cr"	"Dunite -chromite ultramafic rocks"	"Archaean"	3	""	2	21.28444	86.325
47	12747	"iron ore"	"Iron and Ferro-Alloy Metals"	"ANDHRA PRADESH"	"21"	"Cuddapah dist."	"5. Thummalur"	"14^28'10" : 78^34'20""	"Fe"	"Sandstone, phyllite, conglomarates of Cuddapah Supergroup"	"Middle Proterozoic"	3	""	2	14.46944	78.57222
48	211327.3	"iron ore"	"Iron and Ferro-Alloy Metals"	"ANDHRA PRADESH"	"20"	"Kurnool dist."	"8. Bronmagundam"	"15^35'14" : 76^58'"	"Fe"	"Banded hematite quartzite"	"Archaean-Lower Proterozoic"	3	""	2	15.58722	76.96667
